root@vps-ffff604a:/www/wwwroot/f.snaptik.fit/yt-dlp/yt-dlp-stream# docker compose -f docker-compose.proton.yml logs -f gateway-warp
ytdlp-gateway-warp  | 2026/04/04 08:37:53 [w4] restarting ytdlp-gluetun-4
ytdlp-gateway-warp  | 2026/04/04 08:38:04 [w4] restarting ytdlp-stream-4
ytdlp-gateway-warp  | 2026/04/04 08:38:09 [w5] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:09 [w5] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:09 [w5] restarting ytdlp-gluetun-5
ytdlp-gateway-warp  | 2026/04/04 08:38:20 [w5] restarting ytdlp-stream-5
ytdlp-gateway-warp  | 2026/04/04 08:38:21 [w6] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:21 [w6] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:21 [w6] restarting ytdlp-gluetun-6
ytdlp-gateway-warp  | 2026/04/04 08:38:23 [w3] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:38:27 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:27 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:27 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:38:29 [w7] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:29 [w7] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:29 [w7] restarting ytdlp-gluetun-7
ytdlp-gateway-warp  | 2026/04/04 08:38:29 [w2] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:38:32 [w6] restarting ytdlp-stream-6
ytdlp-gateway-warp  | 2026/04/04 08:38:37 [w8] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:37 [w8] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:37 [w8] restarting ytdlp-gluetun-8
ytdlp-gateway-warp  | 2026/04/04 08:38:38 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:38:40 [w7] restarting ytdlp-stream-7
ytdlp-gateway-warp  | 2026/04/04 08:38:44 [w9] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:44 [w9] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:38:44 [w9] restarting ytdlp-gluetun-9
ytdlp-gateway-warp  | 2026/04/04 08:38:45 [w4] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:38:48 [w8] restarting ytdlp-stream-8
ytdlp-gateway-warp  | 2026/04/04 08:38:52 [w10] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:38:52 [w10] restart scheduled
